City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,ermoupolis,37.4423,24.9425,28.95,46,0,0.45,GR,1725294699
125,fort st. john,56.2499,-120.8529,15.94,63,75,4.12,CA,1725294401
126,afaahiti,-17.75,-149.2833,22.55,76,97,12.23,PF,1725294701
127,zhanaozen,43.3,52.8,25.07,16,5,8.73,KZ,1725294702
128,vorgashor,67.5833,63.95,5.59,86,99,8.18,RU,1725294703
129,kurchatov,51.6601,35.6521,26.38,22,65,6.51,RU,1725294704
130,kavaratti,10.5669,72.642,26.71,88,99,5.2,IN,1725294605
131,fale old settlement,-9.3852,-171.2468,28.41,67,92,7.76,TK,1725294707
132,adrar,20.5022,-10.0711,42.07,13,4,3.91,MR,1725294708
133,hobyo,5.3505,48.5268,24.7,83,67,13.24,SO,1725294709
134,qaqortoq,60.7167,-46.0333,9.95,38,28,0.81,GL,1725294583
135,island harbour,50.724,-1.2758,19.46,92,100,0.89,GB,1725294711
136,thompson,55.7435,-97.8558,19.09,68,75,4.12,CA,1725294454
137,lompoc,34.6391,-120.4579,18.23,94,40,0.0,US,1725294598
138,enewetak,11.3474,162.3373,28.0,74,33,2.12,MH,1725294714
139,ust-nera,64.5667,143.2,5.24,99,100,3.38,RU,1725294715
140,ingeniero jacobacci,-41.3427,-69.5448,7.69,41,75,13.19,AR,1725294718
141,ciutadella,40.0011,3.8414,26.36,71,37,5.01,ES,1725294719
142,taoudenni,22.6783,-3.9836,40.78,22,46,6.49,ML,1725294584
143,wanda,-25.9693,-54.5697,21.43,23,20,1.37,AR,1725294721
144,abou el hassan,36.4166,1.1962,32.69,72,6,3.65,DZ,1725294722
145,severo-yeniseyskiy,60.3725,93.0408,0.66,91,93,1.57,RU,1725294723
146,moissala,8.3404,17.7663,23.59,92,72,0.58,TD,1725294724
147,la foa,-21.7108,165.8276,18.64,85,0,2.03,NC,1725294725
148,nadi,-17.8,177.4167,19.0,82,20,0.0,FJ,1725294727
149,arraial do cabo,-22.9661,-42.0278,23.98,78,40,10.29,BR,1725294728
150,st. john's,47.5649,-52.7093,24.66,82,75,4.63,CA,1725294716
151,vernon,50.2581,-119.2691,21.74,55,100,2.06,CA,1725294730
152,minas de marcona,-15.2119,-75.1103,17.5,47,19,5.89,PE,1725294731
153,labrador city,52.9463,-66.9114,10.95,65,75,8.75,CA,1725294599
